Date ,Incident Type,Location,City,Unit ID,Whole Address,Latitude,Longitude
01/01/2023,SUSPICIOUS PERSON,5417 85th Ave Apt 201," New Carollton MD, 20784",PP/NC10,"5417 85th Ave Apt 201 New Carollton MD, 20784",38.9560548,-76.8678178
01/01/2023,NOISE COMPLAINT,7607 Riverdale Rd Eb Apt 338," New Carollton MD, 20784",PP/NC19,"7607 Riverdale Rd Eb Apt 338 New Carollton MD, 20784",38.9592479,-76.8808115
01/02/2023,ACCIDENT,8308 Annapolis Rd Wb," New Carollton MD, 20784",PP/NC19,"8308 Annapolis Rd Wb New Carollton MD, 20784",38.9566046,-76.8724114
01/02/2023,CHECK WELFARE,7501 Riverdale Rd Eb," New Carollton MD, 20784",PP/NC20,"7501 Riverdale Rd Eb New Carollton MD, 20784",38.960578,-76.8815475
01/02/2023,UNKNOWN TROUBLE,8347 Oliver St," New Carollton MD, 20784",,"8347 Oliver St New Carollton MD, 20784",38.9641814,-76.8733046
01/02/2023,DISORDERLY,8500 Annapolis Rd Wb," New Carollton MD, 20784",PP/NC21,"8500 Annapolis Rd Wb New Carollton MD, 20784",38.9590239,-76.8686729
01/02/2023,MISC POLICE INCIDENT,5507 Karen Elaine Dr," New Carollton MD, 20784",,"5507 Karen Elaine Dr New Carollton MD, 20784",38.9571734,-76.8788071
01/02/2023,DISORDERLY,8211 Annapolis Rd Eb," New Carollton MD, 20784",PP/NC21,"8211 Annapolis Rd Eb New Carollton MD, 20784",38.9553714,-76.8721411
01/02/2023,THEFT J O,8201 Annapolis Rd Eb," New Carollton MD, 20784",PP/NC20,"8201 Annapolis Rd Eb New Carollton MD, 20784",38.9550816,-76.8724114
01/02/2023,CDS COMPLAINT,5289 85th Ave," New Carollton MD, 20784",PP/NC50,"5289 85th Ave New Carollton MD, 20784",38.9537509,-76.8684809
01/02/2023,ASSIST FIRE EMS,7613 Riverdale Rd Eb," New Carollton MD, 20784",PP/NC20,"7613 Riverdale Rd Eb New Carollton MD, 20784",38.9600349,-76.8795711
01/02/2023,UNKNOWN TROUBLE,6240 Westbrook Dr," New Carollton MD, 20784",,"6240 Westbrook Dr New Carollton MD, 20784",38.9652959,-76.877636
01/02/2023,ATT SUICIDE COMBINED,7318 Longbranch Dr," New Carollton MD, 20784",PP/NC21,"7318 Longbranch Dr New Carollton MD, 20784",38.96796,-76.8874767
01/02/2023,TRAFFIC COMPLAINT,Adrian St / Longbranch Dr," New Carollton MD, 20784",PP/NC21,"Adrian St / Longbranch Dr New Carollton MD, 20784",38.967973,-76.8900842
01/02/2023,SUSPICIOUS OCC AUTO,Carrollton Pkwy / Quentin St," New Carollton MD, 20784",,"Carrollton Pkwy / Quentin St New Carollton MD, 20784",38.9702055,-76.8775125
01/02/2023,THEFT REPORT,8309 Annapolis Rd Eb," New Carollton MD, 20784",PP/DESK3,"8309 Annapolis Rd Eb New Carollton MD, 20784",38.9560451,-76.8718145
01/02/2023,UNKNOWN TROUBLE,8201 Annapolis Rd Eb," New Carollton MD, 20784",PP/NC10,"8201 Annapolis Rd Eb New Carollton MD, 20784",38.9550816,-76.8724114
01/02/2023,DISORDERLY,8201 Annapolis Rd Eb," New Carollton MD, 20784",,"8201 Annapolis Rd Eb New Carollton MD, 20784",38.9550816,-76.8724114
01/02/2023,DOMESTIC,5522 Karen Elaine Dr Apt 714," New Carollton MD, 20784",PP/NC10,"5522 Karen Elaine Dr Apt 714 New Carollton MD, 20784",38.9572854,-76.8802155
01/02/2023,MISC POLICE INCIDENT,5506 Karen Elaine Dr Apt 815," New Carollton MD, 20784",PP/NC50,"5506 Karen Elaine Dr Apt 815 New Carollton MD, 20784",38.9559758,-76.87949
01/02/2023,MISC POLICE INCIDENT,5843 89th Ave," New Carollton MD, 20784",,"5843 89th Ave New Carollton MD, 20784",38.9642536,-76.8662474
01/02/2023,DISORDERLY,7519 Riverdale Rd Eb Apt 1932," New Carollton MD, 20784",,"7519 Riverdale Rd Eb Apt 1932 New Carollton MD, 20784",38.9582307,-76.8821958
01/03/2023,911 DISCONNECT,5911 87th Ave," New Carollton MD, 20784",,"5911 87th Ave New Carollton MD, 20784",38.9650918,-76.86829
01/03/2023,TRAFFIC COMPLAINT,8300 Quintana St," New Carollton MD, 20784",PP/NC21,"8300 Quintana St New Carollton MD, 20784",38.9686499,-76.8755079
01/03/2023,SUSPICIOUS PERSON,5512 Karen Elaine Dr," New Carollton MD, 20784",PP/NC21,"5512 Karen Elaine Dr New Carollton MD, 20784",38.9569523,-76.8795052
01/03/2023,SIGNAL 100 SERVICE,7318 Longbranch Dr," New Carollton MD, 20784",PP/SC407,"7318 Longbranch Dr New Carollton MD, 20784",38.96796,-76.8874767
01/03/2023,SUSPICIOUS OCC AUTO,7405 Longbranch Dr," New Carollton MD, 20784",PP/NC21,"7405 Longbranch Dr New Carollton MD, 20784",38.9671957,-76.8863959
01/03/2023,MISC POLICE INCIDENT,6130 Lamont Dr," New Carollton MD, 20784",,"6130 Lamont Dr New Carollton MD, 20784",38.9680574,-76.8818246
01/03/2023,DISORDERLY,6130 Lamont Dr," New Carollton MD, 20784",,"6130 Lamont Dr New Carollton MD, 20784",38.9680574,-76.8818246
01/03/2023,911 DISCONNECT,7790 Riverdale Rd Wb," New Carollton MD, 20784",,"7790 Riverdale Rd Wb New Carollton MD, 20784",38.9578728,-76.8726366
01/03/2023,THEFT J O,7790 Riverdale Rd Wb," New Carollton MD, 20784",PP/NC21,"7790 Riverdale Rd Wb New Carollton MD, 20784",38.9578728,-76.8726366
01/03/2023,FRAUD,7801 Powhatan St," New Carollton MD, 20784",,"7801 Powhatan St New Carollton MD, 20784",38.9617239,-76.8784693
01/03/2023,CHECK WELFARE COMBINED,7701 Riverdale Rd Eb," New Carollton MD, 20784",,"7701 Riverdale Rd Eb New Carollton MD, 20784",38.9591036,-76.8772939
01/03/2023,MISC POLICE INCIDENT,7701 Arehart Dr," New Carollton MD, 20784",,"7701 Arehart Dr New Carollton MD, 20784",38.9551244,-76.8770055
01/03/2023,ACCIDENT,8445 Annapolis Rd Eb," New Carollton MD, 20784",PP/NC21,"8445 Annapolis Rd Eb New Carollton MD, 20784",38.9566736,-76.869326
01/03/2023,CDS COMPLAINT,5289 85th Ave," New Carollton MD, 20784",PP/NC21,"5289 85th Ave New Carollton MD, 20784",38.9537509,-76.8684809
01/03/2023,DISORDERLY,8308 Annapolis Rd Wb," New Carollton MD, 20784",,"8308 Annapolis Rd Wb New Carollton MD, 20784",38.9566046,-76.8724114
01/03/2023,DISORDERLY,8333 Annapolis Rd Eb," New Carollton MD, 20784",PP/NC11,"8333 Annapolis Rd Eb New Carollton MD, 20784",38.9563787,-76.8704295
01/03/2023,911 DISCONNECT,8333 Annapolis Rd Eb," New Carollton MD, 20784",,"8333 Annapolis Rd Eb New Carollton MD, 20784",38.9563787,-76.8704295
01/03/2023,PREMISE CHECK,Annapolis Rd Eb / Riverdale Rd Eb," New Carollton MD, 20784",PP/3B9,"Annapolis Rd Eb / Riverdale Rd Eb New Carollton MD, 20784",38.9557861,-76.8729861
01/03/2023,DISORDERLY,8201 Annapolis Rd Eb," New Carollton MD, 20784",PP/NC50,"8201 Annapolis Rd Eb New Carollton MD, 20784",38.9550816,-76.8724114
01/03/2023,VANDALISM,5311 85th Ave Apt 104," New Carollton MD, 20784",PP/NC11,"5311 85th Ave Apt 104 New Carollton MD, 20784",38.9551291,-76.8679072
01/03/2023,MISSING PERSON,8300 Donoghue Dr," New Carollton MD, 20784",PP/NC11,"8300 Donoghue Dr New Carollton MD, 20784",38.9747021,-76.8819372
01/03/2023,911 DISCONNECT,5312 85th Ave," New Carollton MD, 20784",,"5312 85th Ave New Carollton MD, 20784",38.95325,-76.869748
01/03/2023,911 DISCONNECT,6407 Kaslo St," New Carollton MD, 20784",,"6407 Kaslo St New Carollton MD, 20784",38.9716709,-76.8834685
01/03/2023,ATT SUICIDE COMBINED,8312 Legation Rd," New Carollton MD, 20784",PP/NC11,"8312 Legation Rd New Carollton MD, 20784",38.9610492,-76.8718484
01/04/2023,CHECK WELFARE MENTAL,8404 Ravenswood Rd," New Carollton MD, 20784",PP/1B5,"8404 Ravenswood Rd New Carollton MD, 20784",38.9702415,-76.8754967
01/04/2023,DISORDERLY,Lamont Dr / Powhatan St," New Carollton MD, 20784",,"Lamont Dr / Powhatan St New Carollton MD, 20784",38.9620411,-76.8818263
01/04/2023,CHECK WELFARE,8403 Carrollton Pkwy," New Carollton MD, 20784",,"8403 Carrollton Pkwy New Carollton MD, 20784",38.9704634,-76.8760371
01/04/2023,THEFT FROM AUTO,7717 Riverdale Rd Eb," New Carollton MD, 20784",PP/NC50,"7717 Riverdale Rd Eb New Carollton MD, 20784",38.9580263,-76.8768647
01/04/2023,THEFT FROM AUTO,7717 Riverdale Rd Eb," New Carollton MD, 20784",PP/NC50,"7717 Riverdale Rd Eb New Carollton MD, 20784",38.9580263,-76.8768647
01/04/2023,CHECK WELFARE COMBINED,7615 Riverdale Rd Eb Apt 119," New Carollton MD, 20784",PP/NC50,"7615 Riverdale Rd Eb Apt 119 New Carollton MD, 20784",38.9596992,-76.8787932
01/04/2023,911 DISCONNECT,7845 Riverdale Rd Eb," New Carollton MD, 20784",,"7845 Riverdale Rd Eb New Carollton MD, 20784",38.9573713,-76.8724564
01/04/2023,STOLEN VEH,5446 85th Ave Apt 101," New Carollton MD, 20784",PP/NC50,"5446 85th Ave Apt 101 New Carollton MD, 20784",38.9547733,-76.870213
01/04/2023,THEFT FROM AUTO,7713 Riverdale Rd Eb," New Carollton MD, 20784",,"7713 Riverdale Rd Eb New Carollton MD, 20784",38.9582704,-76.8753413
01/04/2023,THEFT J O,7790 Riverdale Rd Wb," New Carollton MD, 20784",,"7790 Riverdale Rd Wb New Carollton MD, 20784",38.9578728,-76.8726366
01/04/2023,CHECK WELFARE COMBINED,7615 Riverdale Rd Eb Apt 123," New Carollton MD, 20784",,"7615 Riverdale Rd Eb Apt 123 New Carollton MD, 20784",38.9596992,-76.8787932
01/04/2023,CHECK WELFARE COMBINED,Riverdale Rd Eb / Mahoney Dr," New Carollton MD, 20784",PP/2B2,"Riverdale Rd Eb / Mahoney Dr New Carollton MD, 20784",38.9600735,-76.8767645
01/04/2023,THEFT REPORT,5536 Karen Elaine Dr Apt 1602," New Carollton MD, 20784",PP/2B5,"5536 Karen Elaine Dr Apt 1602 New Carollton MD, 20784",38.95632,-76.8802095
01/04/2023,DOMESTIC STANDBY,5427 85th Ave," New Carollton MD, 20784",PP/DS17,"5427 85th Ave New Carollton MD, 20784",38.9561855,-76.8668036
01/04/2023,DOMESTIC,8435 Carrollton Pkwy," New Carollton MD, 20784",,"8435 Carrollton Pkwy New Carollton MD, 20784",38.9724506,-76.8737851
01/04/2023,FAMILY DISPUTE,8435 Carrollton Pkwy," New Carollton MD, 20784",PP/NC3171,"8435 Carrollton Pkwy New Carollton MD, 20784",38.9724506,-76.8737851
01/04/2023,DOMESTIC STANDBY,8435 Carrollton Pkwy," New Carollton MD, 20784",,"8435 Carrollton Pkwy New Carollton MD, 20784",38.9724506,-76.8737851
01/04/2023,ACCIDENT,Carrollton Pkwy / Lamont Dr," New Carollton MD, 20784",PP/NC3171,"Carrollton Pkwy / Lamont Dr New Carollton MD, 20784",38.9697865,-76.8803489
01/04/2023,DOMESTIC,7515 Riverdale Rd Eb Apt 1908," New Carollton MD, 20784",PP/NC20,"7515 Riverdale Rd Eb Apt 1908 New Carollton MD, 20784",38.9587766,-76.8823532
01/04/2023,ACCIDENT,85th Ave / Annapolis Rd Eb," New Carollton MD, 20784",,"85th Ave / Annapolis Rd Eb New Carollton MD, 20784",38.9577612,-76.8691012
01/04/2023,DOMESTIC W/ WEAPON,5428 85th Ave Apt T2," New Carollton MD, 20784",,"5428 85th Ave Apt T2 New Carollton MD, 20784",38.9538526,-76.8700692
01/04/2023,911 DISCONNECT,8011 Legation Rd," New Carollton MD, 20784",,"8011 Legation Rd New Carollton MD, 20784",38.9604055,-76.8752682
01/04/2023,911 DISCONNECT,8017 Legation Rd," New Carollton MD, 20784",,"8017 Legation Rd New Carollton MD, 20784",38.9604079,-76.875232
01/05/2023,DOMESTIC,5323 85th Ave Apt 12," New Carollton MD, 20784",PP/1B5,"5323 85th Ave Apt 12 New Carollton MD, 20784",38.9554551,-76.8675484
01/05/2023,UNKNOWN TROUBLE,7527 Riverdale Rd Eb Apt 1821," New Carollton MD, 20784",PP/NC19,"7527 Riverdale Rd Eb Apt 1821 New Carollton MD, 20784",38.957621,-76.8822467
01/05/2023,FOUND,8300 Donoghue Dr," New Carollton MD, 20784",PP/NC19,"8300 Donoghue Dr New Carollton MD, 20784",38.9747021,-76.8819372
01/05/2023,ANIMAL COMPLAINT,7517 Riverdale Rd Eb Apt 1922," New Carollton MD, 20784",PP/NC10,"7517 Riverdale Rd Eb Apt 1922 New Carollton MD, 20784",38.9587766,-76.8823532
01/05/2023,ANIMAL COMPLAINT,7519 Riverdale Rd Eb Apt 1929," New Carollton MD, 20784",PP/NC10,"7519 Riverdale Rd Eb Apt 1929 New Carollton MD, 20784",38.9582307,-76.8821958
01/05/2023,911 DISCONNECT,7747 Riverdale Rd Eb," New Carollton MD, 20784",,"7747 Riverdale Rd Eb New Carollton MD, 20784",38.9583029,-76.8755201
01/05/2023,UNKNOWN TROUBLE,7707 Riverdale Rd Eb," New Carollton MD, 20784",,"7707 Riverdale Rd Eb New Carollton MD, 20784",38.9589389,-76.8766103
01/05/2023,DISORDERLY,7517 Riverdale Rd Eb Apt 1945," New Carollton MD, 20784",PP/NC20,"7517 Riverdale Rd Eb Apt 1945 New Carollton MD, 20784",38.9586652,-76.8822
01/05/2023,911 DISCONNECT,5322 85th Ave," New Carollton MD, 20784",,"5322 85th Ave New Carollton MD, 20784",38.9533456,-76.8710947
01/05/2023,ASSAULT,7790 Riverdale Rd Wb," New Carollton MD, 20784",PP/NC50,"7790 Riverdale Rd Wb New Carollton MD, 20784",38.9578728,-76.8726366
01/05/2023,911 DISCONNECT,7600 Fontainebleau Dr," New Carollton MD, 20784",,"7600 Fontainebleau Dr New Carollton MD, 20784",38.9584907,-76.8805185
01/05/2023,THREATS COMPLAINT,6130 Lamont Dr," New Carollton MD, 20784",PP/NC20,"6130 Lamont Dr New Carollton MD, 20784",38.9680574,-76.8818246
01/05/2023,MISSING PERSON,8401 Annapolis Rd Eb," New Carollton MD, 20784",PP/NC20,"8401 Annapolis Rd Eb New Carollton MD, 20784",38.9561793,-76.8690332
01/05/2023,THREATS COMPLAINT,6130 Lamont Dr," New Carollton MD, 20784",PP/NC20,"6130 Lamont Dr New Carollton MD, 20784",38.9680574,-76.8818246
01/05/2023,TRAFFIC COMPLAINT,Legation Rd / Topton St," New Carollton MD, 20784",PP/NC19,"Legation Rd / Topton St New Carollton MD, 20784",38.9606515,-76.8747518
01/05/2023,SUSPICIOUS OCC AUTO,Topton St / Legation Rd," New Carollton MD, 20784",,"Topton St / Legation Rd New Carollton MD, 20784",38.9606515,-76.8747518
01/05/2023,T - Traffic Stop,Westbrook Dr / 84th Ave," New Carollton MD, 20784",PP/NC19,"Westbrook Dr / 84th Ave New Carollton MD, 20784",38.9662328,-76.8747553
01/05/2023,911 DISCONNECT,7611 Topton St," New Carollton MD, 20784",,"7611 Topton St New Carollton MD, 20784",38.9623386,-76.8761272
01/05/2023,911 DISCONNECT,5580 Karen Elaine Dr," New Carollton MD, 20784",,"5580 Karen Elaine Dr New Carollton MD, 20784",38.9573133,-76.8797115
01/05/2023,SUSPICIOUS PERSON,5400 85th Ave Apt T2," New Carollton MD, 20784",PP/NC19,"5400 85th Ave Apt T2 New Carollton MD, 20784",38.9544833,-76.871637
01/05/2023,BREAK IN IN PROGRESS,7615 Riverdale Rd Eb Apt 116," New Carollton MD, 20784",PP/NC19,"7615 Riverdale Rd Eb Apt 116 New Carollton MD, 20784",38.9596992,-76.8787932
01/05/2023,UNKNOWN TROUBLE,7615 Riverdale Rd Eb Apt 119," New Carollton MD, 20784",,"7615 Riverdale Rd Eb Apt 119 New Carollton MD, 20784",38.9596992,-76.8787932
01/06/2023,TRAFFIC COMPLAINT,5502 Karen Elaine Dr," New Carollton MD, 20784",,"5502 Karen Elaine Dr New Carollton MD, 20784",38.955863,-76.8784529
01/06/2023,DISORDERLY,5291 85th Ave Apt 203," New Carollton MD, 20784",PP/NC21,"5291 85th Ave Apt 203 New Carollton MD, 20784",38.9535004,-76.8684582
01/06/2023,PREMISE CHECK,Riverdale Rd Eb / Annapolis Rd Eb," New Carollton MD, 20784",PP/2B7,"Riverdale Rd Eb / Annapolis Rd Eb New Carollton MD, 20784",38.962035,-76.886736
01/06/2023,FAMILY DISPUTE,7605 Riverdale Rd Eb Apt 409," New Carollton MD, 20784",PP/NC20,"7605 Riverdale Rd Eb Apt 409 New Carollton MD, 20784",38.9597626,-76.88072
01/06/2023,911 DISCONNECT,8113 Carrollton Pkwy," New Carollton MD, 20784",,"8113 Carrollton Pkwy New Carollton MD, 20784",38.9677339,-76.8835027
01/06/2023,ACCIDENT,8461 Annapolis Rd Eb," New Carollton MD, 20784",PP/NC21,"8461 Annapolis Rd Eb New Carollton MD, 20784",38.9574249,-76.8692359
01/06/2023,911 DISCONNECT,7710 Riverdale Rd Wb," New Carollton MD, 20784",,"7710 Riverdale Rd Wb New Carollton MD, 20784",38.9596402,-76.8740779
01/06/2023,911 DISCONNECT,8201 Verona Dr," New Carollton MD, 20784",,"8201 Verona Dr New Carollton MD, 20784",38.9685346,-76.8797662
01/06/2023,911 DISCONNECT,8201 Verona Dr," New Carollton MD, 20784",,"8201 Verona Dr New Carollton MD, 20784",38.9685346,-76.8797662
01/06/2023,MISC POLICE INCIDENT,7605 Good Luck Rd," New Carollton MD, 20784",,"7605 Good Luck Rd New Carollton MD, 20784",38.9772885,-76.8745733
01/06/2023,BREAK IN REPORT,7605 Good Luck Rd," New Carollton MD, 20784",PP/NC21,"7605 Good Luck Rd New Carollton MD, 20784",38.9772885,-76.8745733
01/06/2023,911 DISCONNECT,6112 Lamont Dr," New Carollton MD, 20784",,"6112 Lamont Dr New Carollton MD, 20784",38.9673949,-76.8804059
01/06/2023,UNKNOWN TROUBLE,7609 Fontainebleau Dr," New Carollton MD, 20784",,"7609 Fontainebleau Dr New Carollton MD, 20784",38.9583294,-76.8790282
01/06/2023,MISC POLICE INCIDENT,7607 Fontainebleau Dr Apt 2358," New Carollton MD, 20784",PP/NC21,"7607 Fontainebleau Dr Apt 2358 New Carollton MD, 20784",38.9584284,-76.8784318
01/06/2023,ASSAULT REPORT,5503 Karen Elaine Dr Apt 1129," New Carollton MD, 20784",,"5503 Karen Elaine Dr Apt 1129 New Carollton MD, 20784",38.9565897,-76.878164
01/06/2023,SUSPICIOUS OCC AUTO,6419 85th Ave," New Carollton MD, 20784",PP/3B3,"6419 85th Ave New Carollton MD, 20784",38.9763885,-76.8751138
01/06/2023,911 DISCONNECT,7601 Powhatan St," New Carollton MD, 20784",,"7601 Powhatan St New Carollton MD, 20784",38.9613598,-76.8809013
01/06/2023,911 DISCONNECT,7300 Sara St," New Carollton MD, 20784",,"7300 Sara St New Carollton MD, 20784",38.9690857,-76.889796
01/06/2023,NOISE COMPLAINT,5512 Karen Elaine Dr Apt 609," New Carollton MD, 20784",PP/NC10,"5512 Karen Elaine Dr Apt 609 New Carollton MD, 20784",38.9569523,-76.8795052
01/06/2023,911 DISCONNECT,8902 Madison St," New Carollton MD, 20784",,"8902 Madison St New Carollton MD, 20784",38.9639728,-76.8658577
01/06/2023,THEFT FROM AUTO,8110 Quentin St," New Carollton MD, 20784",PP/NC10,"8110 Quentin St New Carollton MD, 20784",38.969802,-76.8832433
01/06/2023,ATT SUICIDE COMBINED,7609 Riverdale Rd Eb Apt 329," New Carollton MD, 20784",PP/NC10,"7609 Riverdale Rd Eb Apt 329 New Carollton MD, 20784",38.9590726,-76.8808585
